Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
Santa Fé;Caseros;Escuela Agrotécnica  Libertador General San Martín;Institución de ETP;Estatal;258;156;102;Agropecuaria;SEC TEC
San Juan;Rawson;Escuela Agrotécnica  Los Pioneros;Institución de ETP;Estatal;224;134;90;Agropecuaria;SEC TEC
Tucumán;La Cocha;Escuela Agrotécnica  Los Pizarro;Institución de ETP;Estatal;137;74;63;Agropecuaria;SEC TEC
Tucumán;Rio Chico;Escuela Agrotécnica  Los Sarmientos;Institución de ETP;Estatal;139;72;67;Agropecuaria;SEC TEC
Corrientes;Bella Vista;Escuela Agrotécnica  Manuel Belgrano;Institución de ETP;Estatal;114;53;61;Agropecuaria;SEC TEC
Tucumán;Burruyacú;Escuela Agrotécnica  Mariano Ramos;Institución de ETP;Estatal;60;36;24;Agropecuaria;SEC TEC
Catamarca;Capayán;"Escuela Agrotécnica  Nueva Coneta	";Institución de ETP;Estatal;52;29;23;Agropecuaria;SEC TEC
Corrientes;Sauce;Escuela Agrotécnica  Paraje Poñi;Institución de ETP;Estatal;26;14;12;Agropecuaria;SEC TEC
Tucumán;Tafí del Valle;Escuela Agrotécnica  Profesor Miguel A. Torres;Institución de ETP;Estatal;250;124;126;Agropecuaria;SEC TEC
Corrientes;Monte Caseros;Escuela Agrotécnica  República de Venezuela;Institución de ETP;Estatal;92;39;53;Agropecuaria;SEC TEC-FP
Neuquén;Aluminé;Escuela Agrotécnica  Sagrada Familia;Institución de ETP;Privado;72;46;26;Agropecuaria;SEC TEC
Córdoba;Río Cuarto;Escuela Agrotécnica  Salesiana Ambrosio Olmos;Institución de ETP;Privado;104;81;23;Agropecuaria;SEC TEC
Tierra del Fuego;Río Grande;Escuela Agrotécnica  Salesiana Nuestra Señora de la Candelaria;Institución de ETP;Privado;189;110;79;Agropecuaria;SEC TEC
Corrientes;Goya;Escuela Agrotécnica  San Isidro Labrador;Institución de ETP;Estatal;24;12;12;Agropecuaria;SEC TEC
La Pampa;Capital;Escuela Agrotécnica  Santa Rosa;Institución de ETP;Estatal;143;87;56;Agropecuaria;SEC TEC
